"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
7720,NA,NA,"F",2007
7931,NA,NA,"M",2008
6145,NA,NA,"M",2007
6400,NA,NA,"F",2008
7988,NA,NA,"F",2008
8219,NA,NA,"M",2008
7951,NA,NA,"M",2008
6865,NA,NA,"F",2003
7952,NA,NA,"M",2008
7711,NA,NA,"F",2007
7956,NA,NA,"F",2008
6404,NA,NA,"M",2008
6402,NA,NA,"M",2008
7976,NA,NA,"M",2008
7967,NA,NA,"F",2008
7258,NA,NA,"M",2005
7427,NA,NA,"M",2006
7423,NA,NA,"M",2006
7958,NA,NA,"M",2008
7716,NA,NA,"M",2007
8492,NA,NA,"M",2010
7724,NA,NA,"F",2007
6126,NA,NA,"F",2007
5821,NA,NA,"M",2006
7698,NA,NA,"F",2007
7697,NA,NA,"M",2007
7692,NA,NA,"F",2007
6104,NA,NA,"F",2006
7709,NA,NA,"M",2007
7715,NA,NA,"F",2007
6103,NA,NA,"F",2006
6131,NA,NA,"M",2007
6139,NA,NA,"M",2007
6132,NA,NA,"M",2007
6122,NA,NA,"F",2007
6128,NA,NA,"F",2007
6138,NA,NA,"M",2007
6133,NA,NA,"M",2007
6134,NA,NA,"M",2007
6135,NA,NA,"M",2007
6136,NA,NA,"M",2007
6137,NA,NA,"M",2007
5486,NA,NA,"F",2005
6119,NA,NA,"F",2007
6120,NA,NA,"F",2007
6117,NA,NA,"F",2007
5717,NA,NA,"M",2006
7702,NA,NA,"F",2007
7700,NA,NA,"F",2007
7034,NA,NA,"M",2004
6407,NA,NA,"M",2008
8224,NA,NA,"M",2009
8223,NA,NA,"F",2009
5169,NA,NA,"M",2004
8576,NA,NA,"F",2009
7972,NA,NA,"M",2008
7961,NA,NA,"M",2008
8566,NA,NA,"F",2009
6401,NA,NA,"F",2008
6503,NA,NA,"F",2008
8435,NA,NA,"M",2009
8409,NA,NA,"M",2009
8408,NA,NA,"M",2009
8406,NA,NA,"M",2009
8405,NA,NA,"F",2009
8592,NA,NA,"M",2009
8403,NA,NA,"M",2009
8404,NA,NA,"M",2009
8577,NA,NA,"F",2009
8574,NA,NA,"M",2009
8578,NA,NA,"F",2009
8575,NA,NA,"M",2009
7986,NA,NA,"M",2008
8572,NA,NA,"M",2009
8229,NA,NA,"M",2009
8573,NA,NA,"M",2009
8230,NA,NA,"M",2009
8412,NA,NA,"M",2009
8231,NA,NA,"M",2009
8407,NA,NA,"F",2009
7985,NA,NA,"F",2008
7982,NA,NA,"M",2008
7977,NA,NA,"M",2008
7981,NA,NA,"F",2008
7980,NA,NA,"M",2008
6408,NA,NA,"M",2008
6406,NA,NA,"M",2008
7970,NA,NA,"M",2008
8580,NA,NA,"M",2009
8581,NA,NA,"F",2009
8582,NA,NA,"F",2009
8584,NA,NA,"M",2009
8585,NA,NA,"F",2009
8588,NA,NA,"M",2009
8589,NA,NA,"M",2009
8591,NA,NA,"M",2009
7008,NA,NA,"F",2004
8228,NA,NA,"F",2009
6510,NA,NA,"M",2008
6511,NA,NA,"M",2008
6411,NA,NA,"M",2008
6557,NA,NA,"F",2009
7706,NA,NA,"F",2007
6144,NA,NA,"M",2007
6142,NA,NA,"M",2007
6140,NA,NA,"M",2007
7705,NA,NA,"F",2007
8399,NA,NA,"F",2009
8398,NA,NA,"M",2009
7932,NA,NA,"F",2008
8614,NA,NA,"M",2009
6413,NA,NA,"M",2008
6412,NA,NA,"M",2008
6410,NA,NA,"M",2008
6414,NA,NA,"M",2008
6416,NA,NA,"M",2008
6415,NA,NA,"M",2008
7987,NA,NA,"M",2008
8498,NA,NA,"M",2010
6514,NA,NA,"M",2009
6504,NA,NA,"F",2008
8221,NA,NA,"M",2009
8449,NA,NA,"M",2009
8590,NA,NA,"M",2009
7713,NA,NA,"M",2007
7979,NA,NA,"M",2008
8594,NA,NA,"M",2009
8600,NA,NA,"F",2009
8599,NA,NA,"M",2009
8570,NA,NA,"F",2009
8227,NA,NA,"M",2009
6124,NA,NA,"F",2007
8411,NA,NA,"M",2009
8625,NA,NA,"F",2009
8579,NA,NA,"F",2009
8400,NA,NA,"F",2009
7409,NA,NA,"M",2006
8583,NA,NA,"F",2009
8415,NA,NA,"M",2009
8416,NA,NA,"M",2009
8417,NA,NA,"M",2009
8418,NA,NA,"F",2009
8239,NA,NA,"F",2009
8616,NA,NA,"M",2009
8631,NA,NA,"F",2009
8611,NA,NA,"M",2009
8232,NA,NA,"M",2009
8605,NA,NA,"M",2009
8610,NA,NA,"M",2009
8596,NA,NA,"F",2009
8597,NA,NA,"F",2009
8602,NA,NA,"F",2009
8603,NA,NA,"M",2009
8606,NA,NA,"M",2009
8607,NA,NA,"F",2009
8613,NA,NA,"F",2009
8615,NA,NA,"M",2009
